@relation s1

@attribute AccX_mean numeric
@attribute AccX_variance numeric
@attribute AccY_mean numeric
@attribute AccY_variance numeric
@attribute AccZ_mean numeric
@attribute AccZ_variance numeric
@attribute GyrX_mean numeric
@attribute GyrX_variance numeric
@attribute GyrY_mean numeric
@attribute GyrY_variance numeric
@attribute GyrZ_mean numeric
@attribute GyrZ_variance numeric
@attribute class {bike,downstairs,lie,run,sit,stand,upstairs,walk}

@data
517.617188,242.861267,512.851563,62.376404,518.109375,555.050537,524.8125,339.496094,512.835938,127.934021,1,0,downstairs
517.734375,272.695068,513.351563,66.462341,520.335938,690.582458,526.546875,275.607178,511.53125,133.592773,1,0,downstairs
518.390625,218.519287,511.515625,64.952881,534.09375,693.756836,528.507813,353.453064,514.335938,203.754333,1,0,downstairs
518.648438,165.399841,511.570313,73.229431,537.296875,500.411865,528.398438,490.72406,515.445313,241.340759,1,0,downstairs
518.21875,193.030273,512.640625,70.49585,521.351563,549.899841,527.296875,444.036865,513.742188,212.08197,1,0,downstairs
517.578125,260.165771,513.320313,84.764587,520.414063,654.555115,528.359375,473.9021,515.1875,247.777344,1,0,downstairs
518.234375,283.523193,512,102.453125,533.695313,958.321228,527.671875,589.486084,515.84375,345.459961,1,0,downstairs
519.773438,299.628357,510.625,70.5,533.84375,1072.147461,525.609375,468.441162,516.507813,373.343689,1,0,downstairs
519.84375,382.928711,511.09375,82.553711,531.351563,999.993591,525.75,538.828125,519.992188,358.632751,1,0,downstairs
519.148438,296.470154,511.757813,80.246033,533.171875,751.173584,526.96875,543.217773,520.585938,394.680115,1,0,downstairs
518.695313,229.227478,512.710938,79.518005,529.0625,657.136719,526.476563,418.483826,518.429688,377.963806,1,0,downstairs
519.179688,220.61615,510.9375,83.433594,535.078125,924.634521,526.015625,386.984131,521.179688,304.788025,1,0,downstairs
519.820313,183.538025,509.820313,73.80365,543.679688,1037.967712,525.804688,285.532166,521.453125,252.513428,1,0,downstairs
518.640625,155.80835,512.929688,94.737244,530.820313,937.17865,526.257813,243.45697,516.421875,206.650146,1,0,downstairs
517.515625,169.702881,515.992188,92.070251,517.476563,311.827576,525.539063,233.545349,515.242188,167.917908,1,0,downstairs
517.203125,252.286865,515.023438,96.413513,518.484375,466.046631,525.09375,245.663086,514.359375,152.917725,1,0,downstairs
514.804688,259.672791,514.382813,90.564392,517.351563,624.056091,525.179688,503.2099,511.703125,152.161865,1,0,downstairs
514.265625,318.038818,512.984375,113.906006,532.460938,1168.889099,526.679688,600.498962,513.59375,268.428711,1,0,downstairs
517.304688,298.430603,511.960938,84.396912,538.679688,1034.170837,526.398438,353.13031,515.640625,248.073975,1,0,downstairs
518.28125,183.811523,513.1875,55.480469,522.6875,643.792969,524.054688,245.739197,513.882813,167.30658,1,0,downstairs
515.664063,238.754333,513.859375,73.605225,522.429688,592.354431,526.164063,336.262146,512.1875,176.964844,1,0,downstairs
517.679688,464.061462,511.875,77.53125,538.765625,1233.382568,526.84375,446.538086,516.109375,305.206787,1,0,downstairs
520.328125,502.923584,511.46875,66.155273,533.5,1676.3125,526.453125,551.950928,516.46875,323.670898,1,0,downstairs
519.234375,433.241943,514.179688,79.17865,517.851563,1104.954529,526.28125,554.545898,512.125,210.375,1,0,downstairs
520.429688,439.901306,514.945313,91.614197,509.164063,1143.652771,525.226563,467.518982,511.21875,235.999023,1,0,downstairs
